word,weight;
intensif,-4.0;
kalem,-2.0;
rantai,-3.0;
pintar,-1.0;
mesti,-3.0;
serang,-4.0;
benak kepala,-3.0;
otak,-3.0;
daya pikir,-2.0;
wajib,-2.0;
dedengkot,-2.0;
tagih,-3.0;
bogem mentah,-5.0;
coret,-1.0;
halah,-5.0;
alay,-4.0;
gergaji,-1.0;
masuk,4.0;
bayar,-3.0;
tukang,-2.0;
potong,-3.0;
curhat,-3.0;
susup,-2.0;
pakar,-1.0;
kawaei,-2.0;
babar,-2.0;
jatuh,-3.0;
runtuh,-5.0;
perenyak,-4.0;
gentar,-4.0;
pailit,-5.0;
singkir,-5.0;
lorot,-4.0;
tetes,-3.0;
roboh,-5.0;
cebur,-5.0;
biak,-3.0;
jeblos,-4.0;
gelincir,-3.0;
rebah,-3.0;
biasin,-3.0;
terjun,-3.0;
rusuh,-4.0;
dapat,-2.0;
tangkap tangan,-4.0;
pelanting,-3.0;
lubang,-3.0;
cemplung,-4.0;
diam,-3.0;
pergok,-5.0;
banting,-3.0;
tangkap basah,-3.0;
terjerembab,-2.0;
luruh,-2.0;
buang,-2.0;
macet,-4.0;
gogrok,-3.0;
jelabak,-3.0;
sembul,-3.0;
capai,-4.0;
cuat,-3.0;
unjuk,-3.0;
songsong,-2.0;
balik,-2.0;
sekutu,-3.0;
kekang,-4.0;
elu,-2.0;
asa,-2.0;
temenan,-2.0;
purnama,-3.0;
ekstrem,-4.0;
inklusif,-2.0;
baca,-1.0;
revolusioner,-1.0;
asak,-3.0;
lelang,-3.0;
mula,-3.0;
radikal,-4.0;
jejal,-3.0;
begah,-2.0;
telak,-3.0;
telik,-2.0;
hati hati,-3.0;
jaga jaga,-3.0;
entah,-3.0;
tajam mata,-1.0;
kelih,-3.0;
please,-3.0;
tae,-4.0;
awas,-3.0;
tidak boleh,-4.0;
dengar,-3.0;
waspada,-3.0;
pelit,-5.0;
kial,-4.0;
temu,-2.0;
kroni,-3.0;
bot,-2.0;
cute,-1.0;
rekan,-2.0;
wacana,-3.0;
tengok,-2.0;
subang,-1.0;
komplot,-4.0;
giwang,-1.0;
lendeh,-3.0;
simpuh,-3.0;
ogah,-3.0;
gelesot,-3.0;
tumpang tinggal,-4.0;
kuliah,-2.0;
semayam,-3.0;
manja,-3.0;
polos,-2.0;
cokol,-4.0;
sia,-5.0;
esok,-2.0;
mana,-3.0;
himpit,-4.0;
tindas,-5.0;
pilih,-2.0;
kasih,-2.0;
heboh,-3.0;
pilih pilih,-3.0;
sebal,-5.0;
payudara,-3.0;
man,-1.0;
tetek,-4.0;
onar,-5.0;
buah dada,-3.0;
biarin,-3.0;
gempar,-4.0;
dempet,-3.0;
bergas,-2.0;
gadang,-4.0;
kawal,-2.0;
alam,-1.0;
sadar,-1.0;
dukacarita,-4.0;
apasih,-4.0;
gugah,-1.0;
tindik,-3.0;
drama duka,-4.0;
pindah,-3.0;
oma,-2.0;
unduh,2.0;
derita,-5.0;
tugas,-1.0;
asri,-3.0;
borak,-4.0;
pedih,-5.0;
pulak,-2.0;
sunduk,-3.0;
rawat,-3.0;
buyut,-3.0;
tragedi,-5.0;
kecek,-3.0;
andal,-1.0;
sial,-5.0;
kismat,-2.0;
daya muat,-2.0;
amuk,-5.0;
surat takdir,-3.0;
malang,-5.0;
geruh,-4.0;
iya,-2.0;
dikatain,-3.0;
duluan,-2.0;
pokok,-3.0;
daya tampung,-2.0;
daya serap,-2.0;
nahas,-2.0;
untung,-1.0;
bahala,-3.0;
gerhana,-2.0;
sedi,-2.0;
sengaja,-2.0;
segitu,-3.0;
php,-4.0;
tendas,-4.0;
anggur,-5.0;
statis,-3.0;
pasif,-3.0;
batu,-2.0;
hiatus,-2.0;
stagnan,-3.0;
bisu,-3.0;
biar,-3.0;
tidak suka,-4.0;
lepas,-2.0;
huhuhu,-2.0;
bungkam,-4.0;
kosong,-4.0;
bajing,-5.0;
tegun,-3.0;
kaget,-3.0;
cabe,-2.0;
sugesti,-3.0;
kuota,-2.0;
lengang,-4.0;
tengkulak,-5.0;
campak,-4.0;
syur,-3.0;
sanggama,-2.0;
sepi,-3.0;
naon,-2.0;
teduh,-2.0;
patung,-3.0;
keluar,-3.0;
tutup mulut,-3.0;
peranjat,-3.0;
lanyak,-3.0;
hina,-5.0;
lancar,-2.0;
nista,-5.0;
leave,-3.0;
licin,-2.0;
murah,-2.0;
spam,-3.0;
mentang,-3.0;
ingin tahu,-3.0;
tobat,-2.0;
mentang mentang,-4.0;
ringan,-1.0;
astagfirullah,-4.0;
mudah,-1.0;
titip api,-1.0;
cebik,-3.0;
fokus,-2.0;
tahan,-2.0;
resistan,-2.0;
enteng,-2.0;
astaga,-4.0;
maapin,-4.0;
berat tangan,-4.0;
berat hati,-4.0;
lembam,-4.0;
macem,-2.0;
realitas,-3.0;
alpa,-3.0;
yauda,-4.0;
gigit,-2.0;
ihhh,-4.0;
orang,-2.0;
berat pinggul,-2.0;
kerubut,-3.0;
sebab,-3.0;
kempes,-4.0;
bye,-3.0;
kerubung,-3.0;
tuntun,-2.0;
tau,-4.0;
serah,-3.0;
wabah,-5.0;
uar uar,-3.0;
wara wara,-3.0;
keroyok,-4.0;
istirahat,-2.0;
tidak jadi,-3.0;
diri,-1.0;
ati,-1.0;
cinta,-3.0;
rasa,-2.0;
jelus,-2.0;
timbal,-2.0;
dajal,-5.0;
artistik,-2.0;
mukhlis,-2.0;
tentang,-2.0;
mbeling,-2.0;
ramai,-2.0;
iri,-4.0;
ngeselin,-5.0;
ngatain,-5.0;
ganjar,-5.0;
junjung,-2.0;
imut imut,-1.0;
seruh,-2.0;
lurus hati,-1.0;
lari lari,-2.0;
senyum,-1.0;
seringai,-4.0;
panas hati,-5.0;
keki,-4.0;
jail,-4.0;
lambat,-5.0;
sayang,-3.0;
hukum,-3.0;
gemes,-2.0;
sukarela,-2.0;
kebiri,-4.0;
prasangka,-3.0;
pahala,-1.0;
pemuda,-1.0;
mohon,-2.0;
henti,-3.0;
erang,-4.0;
manah,-2.0;
mabok,-4.0;
panggil,-1.0;
malas gerak,-4.0;
peduli,-2.0;
hitam,-4.0;
rip,-5.0;
bandung,-1.0;
haih,-4.0;
muda,-2.0;
tuhkan,-4.0;
dua,-3.0;
regenerasi,-2.0;
gubris,-2.0;
indah,-2.0;
rumit,-4.0;
master,-1.0;
tanggung,-4.0;
diapain,-3.0;
pelita,-2.0;
nyali,-2.0;
tangan panas,-4.0;
rugi,-5.0;
tinggal,-4.0;
kerja,-2.0;
puntung,-3.0;
percaya,-1.0;
pikir,-2.0;
merah,-3.0;
nekat,-4.0;
njir,-3.0;
paksa,-4.0;
baiat,-3.0;
satria,-1.0;
masak,-2.0;
labil,-4.0;
goreng,-2.0;
antipati,-3.0;
kontradiksi,-3.0;
teman,-3.0;
kerumit,-5.0;
khilaf,-4.0;
nihh,-3.0;
selidik,-3.0;
lagi,-3.0;
negasi,-2.0;
meh,-5.0;
kota,-1.0;
varian,-2.0;
semi,-2.0;
keruh,-4.0;
colong,-5.0;
kusut,-4.0;
rudapaksa,-4.0;
telaah,-2.0;
ruwet,-4.0;
sedih,-5.0;
teledor,-5.0;
kot,-1.0;
lanjur,-3.0;
cakap,-1.0;
geleng geleng,-3.0;
cengang,-2.0;
menung,-3.0;
lumayan,-2.0;
mata,-2.0;
duka,-5.0;
atraktif,-2.0;
pamer,-3.0;
pucat,-4.0;
pesona,-1.0;
banjir,-4.0;
takjub,-1.0;
terpana,-2.0;
bah,-3.0;
kesima,-1.0;
pukau,-1.0;
impas,-3.0;
bandang,-4.0;
tiada,-5.0;
rasisme,-5.0;
sirik,-5.0;
heran,-3.0;
tidak pernah,-3.0;
rapi,-2.0;
penasaran,-3.0;
tulus hati,-1.0;
beton,-2.0;
tunggu,-3.0;
umpan,-3.0;
cadas,-3.0;
lembek,-4.0;
hih,-4.0;
tutup,-3.0;
