word,weight
lendeh,-3
simpuh,-3
ogah,-3
gelesot,-3
tumpang tinggal,-4
kuliah,-2
semayam,-3
manja,-3
polos,-2
cokol,-4
cokol,-4
sia,-5
esok,-2
mana,-3
himpit,-4
tindas,-5
pilih,-2
kasih,-2
heboh,-3
pilih pilih,-3
sebal,-5
payudara,-3
man,-1
tetek,-4
onar,-5
buah dada,-3
biarin,-3
gempar,-4
dempet,-3
kesal,-5
bergas,-2
gadang,-4
kawal,-2
alam,-1
sadar,-1
dukacarita,-4
apasih,-4
gugah,-1
tindik,-3
drama duka,-4
pindah,-3
oma,-2
unduh;2
derita,-5
tugas,-1
asri,-3
borak,-4
pedih,-5
pulak,-2
sunduk,-3
rawat,-3
buyut,-3
tragedi,-5
kecek,-3
andal,-1
sial,-5
kismat,-2
daya muat,-2
amuk,-5
surat takdir,-3
malang,-5
geruh,-4
iya,-2
dikatain,-3
duluan,-2
pokok,-3
daya tampung,-2
daya serap,-2
nahas,-2
untung,-1
bahala,-3
gerhana,-2
sedi,-2
sengaja,-2
segitu,-3
php,-4
tendas,-4
anggur,-5
statis,-3
pasif,-3
batu,-2
hiatus,-2
stagnan,-3
bisu,-3
biar,-3
tidak suka,-4
lepas,-2
huhuhu,-2
bungkam,-4
kosong,-4
bajing,-5
hati,-2
diam,-3
tegun,-3
kaget,-3
cabe,-2
sugesti,-3
kuota,-2
lengang,-4
tengkulak,-5
campak,-4
syur,-3
sanggama,-2
sepi,-3
naon,-2
teduh,-2
patung,-3
keluar,-3
maaf,-3
tutup mulut,-3
peranjat,-3
lanyak,-3
hina,-5
lancar,-2
nista,-5
leave,-3
licin,-2
murah,-2
spam,-3
mentang,-3
ingin tahu,-3
tobat,-2
mentang mentang,-4
ringan,-1
astagfirullah,-4
mudah,-1
titip api,-1
cebik,-3
fokus,-2
tahan,-2
resistan,-2
enteng,-2
astaga,-4
maapin,-4
berat tangan,-4
berat hati,-4
lembam,-4
macem,-2
realitas,-3
alpa,-3
yauda,-4
gigit,-2
ihhh,-4
orang,-2
berat pinggul,-2
pilih,-2
kerubut,-3
sebab,-3
kempes,-4
bye,-3
kerubung,-3
tuntun,-2
tau,-4
serah,-3
wabah,-5
uar uar,-3
wara wara,-3
keroyok,-4
istirahat,-2
tidak jadi,-3
diri,-1
ati,-1
cinta,-3
rasa,-2
jelus,-2
timbal,-2
dajal,-5
artistik,-2
mukhlis,-2
tentang,-2
mbeling,-2
ramai,-2
iri,-4
ngeselin,-5
ngatain,-5
ganjar,-5
junjung,-2
imut imut,-1
seruh,-2
lurus hati,-1
lari lari,-2
senyum,-1
seringai,-4
ganjar,-3
panas hati,-5
keki,-4
jail,-4
lambat,-5
sayang,-3
hukum,-3
sayang,-3
balas,-3
gemes,-2
sukarela,-2
kebiri,-4
prasangka,-3
pahala,-1
pemuda,-1
mohon,-2
henti,-3
erang,-4
manah,-2
mabok,-4
panggil,-1
malas gerak,-4
