Date,URL,Username,Comment
06/24/2025,https://www.instagram.com/pesanunnes/p/DLRZBFQBA8w/,@pesanunnes,pkk seru apa aja dipelajari😍
06/24/2025,https://www.instagram.com/pesanunnes/p/DLRZBFQBA8w/,@UNNES - Universitas Negeri Semarang,Beli alat jahit aja dek terus belajar ngejahit atau tusuk2 di youtube biar pas praktek ga kaget
06/24/2025,https://www.instagram.com/pesanunnes/p/DLRZBFQBA8w/,@106 likes,Ada cowonya ga kak
06/24/2025,https://www.instagram.com/pesanunnes/p/DLRZBFQBA8w/,@pesanunnes,masker wibu + jaket 4 lapis
06/24/2025,https://www.instagram.com/pesanunnes/p/DLRZBFQBA8w/,@#pesanunnes,Mempelajari ibu2 pkk kak😭
06/24/2025,https://www.instagram.com/pesanunnes/p/DLRZBFQBA8w/,@,"siapin uang buat praktek, kita ada busana ada boga ada elektro semua di embat 😀"
06/24/2025,https://www.instagram.com/pesanunnes/p/DLRZBFQBA8w/,@rvptri,kasih paham kaq @dikencingi @aeokgeoa @net.tvanjayani @lostinserenity___
06/24/2025,https://www.instagram.com/pesanunnes/p/DLRZBFQBA8w/,@13m,Mempelajari kehidupan nder ini suhunya @rvptri
06/24/2025,https://www.instagram.com/pesanunnes/p/DLRZBFQBA8w/,@,@andhitans_ kating pkk
06/24/2025,https://www.instagram.com/pesanunnes/p/DLREacshegG/,@pesanunnes,Mku ada kemungkinan keluar di ganjil atau genap kyknya kak... Coba kl mau pasti hubungi pengelola mku di gedung lp3
06/24/2025,https://www.instagram.com/pesanunnes/p/DLREacshegG/,@UNNES - Universitas Negeri Semarang,ambil cuti dulu nder
06/24/2025,https://www.instagram.com/pesanunnes/p/DLREacshegG/,@571 likes,❤️❤️❤️❤️
06/24/2025,https://www.instagram.com/pesanunnes/p/DLREacshegG/,@pesanunnes,❤️
06/24/2025,https://www.instagram.com/pesanunnes/p/DLREacshegG/,@#pesanunnes,"Pernha ngalamin dipertemukan dengan dosen MKU yang sangat baik jam 2 pagi beliau diluar kota untuk upload nilaiku biar bisa ikut sidang, alhamdulilah lulus tepat waktu"
06/24/2025,https://www.instagram.com/pesanunnes/p/DLREacshegG/,@,"Coba minta bantuan ke kaprodi, biar dicarikan solusinya atau bisa nambah mata kuliah lain yang bisa diambil di semester 9. Dari kaprodi pasti mengusahakan untuk kamu bisa menempuh matkul di semt9, cuman kalau mentok nggak bisa, yaudah ikhlaskan nunggu sampe semt10😌.

Real story dari yang mengalami sendiri💔"
06/24/2025,https://www.instagram.com/pesanunnes/p/DLREacshegG/,@andyendessowner,"Minta bantuin kaprodi, ceritain trs minta solusi frenn"
06/24/2025,https://www.instagram.com/pesanunnes/p/DLREacshegG/,@1h,"Kalau sudah pernah ambil matkulnya, bisa nanti diinput ulang. Kalau belum pernah ambil, harus tetep kuliah lagi buat ambil makul itu"
06/24/2025,https://www.instagram.com/pesanunnes/p/DLREacshegG/,@,"isa dikejar kok, Say. Kamu coba konsultasi dulu sama dosen wali dan kaprodi, nanti pasti dibantu cari solusinya.
Misalnya semester ini kamu masih harus menyelesaikan nilai K atau ada mata kuliah yang belum, biasanya nanti dicarikan kelas antara oleh kaprodi.
Bahkan ada kemungkinan kamu bisa ambil dua mata kuliah tapi nilainya nanti diinput hanya untuk satu, jadi tetap aman SKS-nya.
FYI, aku dulu angkatan 2018, pernah mau sidang tapi masih kurang 6 SKS. Alhamdulillah waktu itu dibantu kaprodi dan akhirnya bisa lulus juga.
Yang penting jangan panik dulu, coba diskusi baik-baik sama pihak prodi ya. Semangat!"
06/24/2025,https://www.instagram.com/pesanunnes/p/DLREacshegG/,@jessgolimit,Bayarin temen kelas semeter antara 10 orang biar dibuka
06/24/2025,https://www.instagram.com/pesanunnes/p/DLREacshegG/,@3h,"Ya harus ambil cuti dulu nder, drpd smt 9 bayar ukt tapi ga ambil matkul. Bisanya, secara umum tetap harus menempuh. Alangkah baiknya ditanyakan kpd kaprodi"
06/24/2025,https://www.instagram.com/pesanunnes/p/DLREacshegG/,@selempangwisuda.unnes,@anim.isme problem e podo karo awakmu gasi im?
06/24/2025,https://www.instagram.com/pesanunnes/p/DLREacshegG/,@4h,@nurullaziza monggo bisa dibantu info ke adik tingkat🙃
06/24/2025,https://www.instagram.com/pesanunnes/p/DLREacshegG/,@,wani ubet wani ruwet 🤣 @papapioow @setiohwibowo @ardyantf
06/24/2025,https://www.instagram.com/pesanunnes/p/DLREacshegG/,@ntmei_ly,@galuhcandrapradipta kasih tauu kakk🙃
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPafTXycCx/,@pesanunnes,DM bg
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPafTXycCx/,@UNNES - Universitas Negeri Semarang,dm kak
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPafTXycCx/,@319 likes,Info loker cewe daerah Unnes PGSD ada Ndak gess
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPafTXycCx/,@pesanunnes,Ready di Sampangan Nder
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPafTXycCx/,@#pesanunnes,dm nder
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPafTXycCx/,@da7_yosua140402,DM aja kak
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPafTXycCx/,@13h,kak aku ada kak area sekaran
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPafTXycCx/,@,Dm kak
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPafTXycCx/,@zweites.oflexa,"Cek Ig babe cafe ka, ada loker"
