Date,URL,Username,Comment
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPafTXycCx/,@14h,"Dm kak, Barangkali ingin jd reseller langsung dari produkis harga miring bingit"
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPafTXycCx/,@,@arta.wash
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPWgEvpAbO/,@pesanunnes,Gas tgl 28
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPWgEvpAbO/,@UNNES - Universitas Negeri Semarang,Manfatt muncak??? 😂
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPWgEvpAbO/,@285 likes,Barangkali butuh mountain guide yg cewek juga boleh nih Nder 😂
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPWgEvpAbO/,@pesanunnes,❤️❤️❤️
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPWgEvpAbO/,@#pesanunnes,@dev_iaffh gasken👏
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPWgEvpAbO/,@,@dev_iaffh gasken👏
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPWgEvpAbO/,@rianapriianto,@sweetamely_
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPWgEvpAbO/,@20h,dia @novann.maulanaa katanya mau kak
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPWgEvpAbO/,@,@gdeprsty_
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPWgEvpAbO/,@_marragain,@k_ftrna @analtfh_
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPWgEvpAbO/,@18h,@fran.prst gas ga ki
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPWgEvpAbO/,@prof_singkong,@bintangsaepudin._
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPWgEvpAbO/,@19h,@abbashilmi gas yuh
06/23/2025,https://www.instagram.com/pesanunnes/p/DLPWgEvpAbO/,@selempangwisuda.unnes,@cryinduck mau kak
06/23/2025,https://www.instagram.com/pesanunnes/p/DLO0xj0SM2N/,@pesanunnes,ga ekspek maba teknik informatika nanya ke BK gini😭
06/23/2025,https://www.instagram.com/pesanunnes/p/DLO0xj0SM2N/,@UNNES - Universitas Negeri Semarang,Simple bgtt kok kuliah nyaa cukup bawa diri dan tas isi make up 😍
06/23/2025,https://www.instagram.com/pesanunnes/p/DLO0xj0SM2N/,@401 likes,"Siapin mental, perbanyak sabar, dan jaga kesehatan, terutama kesehatan jantung ya kk. BK itu Bimbingan Kehidupan dijamin hidup kaka akan terarah dan terbimbing, tiap hari bakal banyak gebrakan yang menggembirakan☺️🙌"
06/23/2025,https://www.instagram.com/pesanunnes/p/DLO0xj0SM2N/,@pesanunnes,Maba teknik informatika tpi tanya persiapan jurusan BK 😭
06/23/2025,https://www.instagram.com/pesanunnes/p/DLO0xj0SM2N/,@#pesanunnes,bk itu b nya bisa sabar 😋
06/23/2025,https://www.instagram.com/pesanunnes/p/DLO0xj0SM2N/,@boy_smb1,Semangat belajar🔥
06/23/2025,https://www.instagram.com/pesanunnes/p/DLO0xj0SM2N/,@1d,Persiapan judul skripsi aja kak
06/23/2025,https://www.instagram.com/pesanunnes/p/DLO0xj0SM2N/,@,Siapin judul sama draft skripsi aja nder😂
06/23/2025,https://www.instagram.com/pesanunnes/p/DLO0xj0SM2N/,@zpdynn,"Buku BK, buku catatan, tas rei, keyboard mechanical, laptop gaming, McLaren Senna, kosan 200 kamar, tahan 7 hektar, private jet, tambang uranium, dll"
06/23/2025,https://www.instagram.com/pesanunnes/p/DLO0xj0SM2N/,@15h,"BK itu Bikin Kebahagiaan kak, jdi klo udh masuk BK kakaknya pasti bahagia terus"
06/23/2025,https://www.instagram.com/pesanunnes/p/DLO0xj0SM2N/,@,Kamu ini maba Teknik informatika apa maba BK
06/23/2025,https://www.instagram.com/pesanunnes/p/DLO0xj0SM2N/,@ifaditta_16,@agungri___ nganu
06/23/2025,https://www.instagram.com/pesanunnes/p/DLO0xj0SM2N/,@20h,@ardinebuntara
06/23/2025,https://www.instagram.com/pesanunnes/p/DLO0xj0SM2N/,@,Kasih tau @abiesyifamahendra
