Tanggal,Waktu,Link,Nama Akun,Komentar,Tipe
2023-07-15,01:10:19,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugz0MDFrwQYFa75_Ktl4AaABAg,@_anitaistiqomah6108,Tour Kampus UNIDA Gontor kak,Komentar
2023-07-05,17:18:06,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxCtA0W2S8g1ekwrUt4AaABAg,@satrioanggito9724,"Bener bener UI cabang semarang 😂🤣, kerenn parahh sii, yang warna kuning emang kampus nya bukan kaleng emang 👍",Komentar
2023-06-21,13:29:11,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgyxU1Vr7miR09r0IP14AaABAg,@Jenichan,"kesini mau liat kampus ku, karena kemarin 20juni aku keterima di unnes 😇😇",Komentar
2023-06-21,06:21:12,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwzlcsZ8AgTCZ9nc5d4AaABAg,@FaizMumtaza-br5mi,Kunjungi universitas trunojoyo madura mas danang giri sadewa,Komentar
2023-05-30,05:34:22,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwSfb-6_ntzQivw1Ht4AaABAg,@lisawulandari3279,bismillah maba 2023😭🙏🏻,Komentar
2023-05-28,17:37:31,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzFBzuMYSajbfVBM7B4AaABAg,@gmailstore1531,Bismillahirrahmanirrahim. Bisa yu 20 juni 2023 jadi mahasiswa sini🥹,Komentar
2023-03-26,02:34:25,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgymOjgAfnnStu10PDt4AaABAg,@ahmadkefinsugandy7637,Unnes adalah kampus terbaik... Walaupun tidak mahasiswa Unnes tapi guru² saya di SMP dan SMA itu rata² alumni Unnes. Secara tidak langsung mendapatkan ilmunya dari Unnes. Terimakasih Unnes 😊😊😊,Komentar
2023-03-11,22:57:54,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugzz0am2h0fzu3QqPK94AaABAg,@RihantsTV,Info akreditasi Prodi² di UNNES silakan dicek disini ya gaes https://youtu.be/X65tzUgKfFU,Komentar
2023-03-03,02:42:23,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgyoYRRJF-vtW0GsXlF4AaABAg,@am_mughni,Bang campus toor universitas negri malang,Komentar
2023-03-01,14:14:04,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugx25aVkQBRliBySVD54AaABAg,@sahanibelitung-ri5nb,"Mudah mudahan anak saya  ada kuliah di sini. , akan mudah mendapatkan kemudahan dalam meraih kerja yang di cita cita kan, amin . Unes oke, sahani belitung",Komentar
2023-02-26,10:57:54,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgymH1PjCxK5_Nb5pjF4AaABAg,@karnaditv8036,Bissmillah semoga bisa keterima di unnes aamiin,Komentar
2023-02-18,10:24:06,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxmhKxGjK53NzuhnVd4AaABAg,@hiburanpengetahuan3287,"Bismillah semoga bisa diterima di Unnes, Allahumma sholli 'alaa Sayyidina Muhammad wa 'ala aali sayyidina Muhammad
Minta doa nya semua🙏",Komentar
2023-02-16,08:52:31,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwkHVfF5gJsHN0YHQx4AaABAg,@normakiyahgrogot3667,"Mantap kampus Unnes, next my kampus :)",Komentar
2023-01-23,16:51:00,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzRqfQ4DBXQBpf9Pap4AaABAg,@figeariefkusumo1493,unnes top global,Komentar
2023-01-12,09:52:53,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwdJJcfll5MogEKJ6h4AaABAg,@reginaazizahrahmadina5799,semoga bisa jadi mahasiswa unnes,Komentar
2023-01-08,04:14:54,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxFb9D0RGq4aKhUufN4AaABAg,@auliaulfahakiki7421,Bangga menjadi bagian dari Unnes ❤️🔥,Komentar
2023-03-21,08:54:46,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxFb9D0RGq4aKhUufN4AaABAg.9kbUwg2KDA99nWOCUE2Cu3,@bayuofficial847,Kak di UNNES ada jurusan pendidikan matematika nggak kak?mohon di jawab ya kak🙏,Balasan
2023-10-12,02:23:55,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxFb9D0RGq4aKhUufN4AaABAg.9kbUwg2KDA99vkYR2jDobH,@Manyalin7CEO,​@@bayuofficial847sudah Mentradisi mentanteka,Balasan
2022-10-17,12:51:01,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzYx6EgMIJXzjANxJl4AaABAg,@apoloniayulialokobal4099,Unnesku terbaik♥️♥️♥️,Komentar
2022-09-26,07:00:47,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugy4N9UrIMt0BYMiwVd4AaABAg,@elzet3502,Meski hanya 2 semester di 1996-1997  tapi kampus ini pernah mewarnai hidup q.,Komentar
2022-09-22,01:06:40,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzBIAJK5KKoIwOeIOR4AaABAg,@kristianafitria9487,Semoga bisa lanjut kuliah di UNNES. Amin. 😇🙏,Komentar
2022-09-11,17:23:24,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwdoKb0IbRaDpbfHx94AaABAg,@ahmadyusuf3748,request buatin Kampus Tour UNMUL dong kak,Komentar
2022-07-28,00:14:20,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzxexS9QI5mFfFUOKB4AaABAg,@fajargalih1869,Enak bangt penyampaian nya singkat padat dan jelas,Komentar
2022-07-27,15:14:51,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzYzO316g7Yr1D1Oul4AaABAg,@hannynursadirasyah6943,"Banyak berubah setelah saya lulus dari unnes, fbs tercinta.",Komentar
2022-07-27,07:48:11,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgycNnPgZox0HJUaPsR4AaABAg,@HastinaTina-gl2fq,"Tenang ,sejuk",Komentar
2022-07-27,07:47:41,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxswGadzKGnmYKKYZ54AaABAg,@HastinaTina-gl2fq,"Thanks,anakku thn ini diterima di Unnes, ILove",Komentar
2022-07-26,14:45:55,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwNKB1uEyyrC8KNCDd4AaABAg,@yevanyasagita7486,Puji Tuhan anak gadisku baru diterima di UNNES smoga kebutuhan yg diperlukan dicukupkan dan disediakan Tuhan buat masa depan anakku thank's God...🙏,Komentar
2022-07-24,07:26:51,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgyY7fPfTRIDynMqZXl4AaABAg,@psikologi_elsanabila6145,Ke UNESA dong bg,Komentar
2022-07-20,03:02:55,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgztnB-3qr1mC2YpZOF4AaABAg,@kusmialindani_manajemen_fe3019,Doain aku temen2 semoga lolos mandiri unnes 2022🤗🤗,Komentar
2022-07-14,09:43:33,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzbWbjA0U4zIgm9-iN4AaABAg,@ratrirasendriya9191,"Perjuangin unnes terus malah ditolak dua kali sama unnes, eh akhirnya diterima sama undip. Antara sedih atau seneng. Tapi tep bersyukur",Komentar
2022-07-10,05:45:43,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzuwHwHkR3Sj-tjeTB4AaABAg,@febrisanyahputranadifamili2668,Makasih semua Ada waktunya ke Kampus kita masing masing Mba Ui,Komentar
2022-07-09,11:55:43,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgyybygbNVprW-uZEB54AaABAg,@retnowijaya23,"Yah ft kok enggak? 

Tata busana punya tempat cat walk buat fashion show dan itu keren",Komentar
2022-07-09,05:59:10,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgyWg_AKyTE-5J4G74h4AaABAg,@febrisanyahputranadifamili2668,Ditunggu ya Umy Und 2  upacakan Semua persiapkan malem ini kak berangkat jam  4,Komentar
2022-07-06,08:12:58,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugx9Wg42lYPvkS4yiBB4AaABAg,@Retno-hz1qw,Bersyukur skl anakku menjadi mahasiswi di Unnes 👍,Komentar
2022-07-05,08:20:48,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxkKN_-LOFDAKITgoZ4AaABAg,@trisulistiyaningrum2147,UNNES sekarang mantap banget.... bangga menjadi alumni UNNES,Komentar
2022-07-04,07:54:31,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzYdCP-Js7sWFJx95Z4AaABAg,@yogiiipradana,Anjay gua gak keterima utbk di unes. Njawab moda mantep gak belajar. Begonya gua wkwkk🤣,Komentar
2022-07-04,07:52:07,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugw3YNuRhU9vkX6hn4J4AaABAg,@lysaanggraeni5062,Sudah banyak berubah semoga saya ga nyasar klo main kesana lagi😅,Komentar
2022-07-03,11:07:43,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzAQ6qH7AvvDEWKDsh4AaABAg,@justzayla1475,Wowwwww,Komentar
